geography code,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
E01000229,18.68217054,5.449101796,1739.7,2.209944751
E01000230,16.20111732,3.265306122,3321.9,2.614379085
E01000231,13.74643875,3.97313934,6315.9,4.838709677
E01000232,13.28388402,4.329235703,104.5,2.033898305
E01000233,14.32325887,2.21878225,85.3,2.90275762
E01000234,12.04996326,3.088152723,119.6,2.671118531
E01000235,16.85542971,4.672395274,607.1,4.025764895
E01000236,14.90727532,2.870322911,4184.7,6.758832565
E01000237,13.91409558,2.523809524,3071.2,5.524861878
E01000238,15.17150396,3.195040534,1170.9,4.53125
E01000239,16.06827546,4.810495627,1899.9,4.611330698
E01000240,16.21433542,3.631123919,1507.7,2.958579882
E01000241,11.68289291,4.082774049,2613.6,3.619047619
E01000242,14.7446458,3.25,1917,5.839416058
E01000243,15.2386429,3.143781785,3882.9,5.640423032
E01000244,15.74746009,3.414634146,818.5,4.537205082
E01000245,22.40047534,4.664723032,2860.9,4.571428571
E01000246,10.4716227,2.960526316,3577.6,2.505219207
E01000247,8.394160584,4.186320755,952.2,4.82509047
E01000248,8.770668584,4.873752202,3376.8,5.314009662
E01000249,8.505747126,2.546583851,6275.6,3.703703704
E01000250,13.20147194,4.101188195,4866.7,2.415458937
E01000251,16.58536585,5.260831123,5003.9,3.146853147
E01000252,12.87825475,4.606413994,2563.5,2.693602694
E01000253,12.11550534,3.735487128,1351.2,3.144016227
E01000254,9.298780488,3.441802253,4578.9,6.337135615
E01000255,16.60597232,5.650382578,3844.7,4.111842105
E01000256,14.29553265,2.125453603,5662.6,3.05958132
E01000257,16.51597348,6.653901388,5043.5,5.882352941
E01000258,15.2715655,5.549682875,3343.8,3.365906623
E01000259,12.99569995,3.975766755,4958.8,5.643994211
E01000260,14.57965902,3.23176362,4037,5.365126677
E01000261,11.23363198,2.93951385,55.2,5.882352941
E01000263,7.646559048,1.770491803,5484.6,5.64516129
E01000264,15.62714188,3.126714207,5041.4,5.522682446
E01000265,15.50232868,4.318418314,916.5,5.294117647
E01000266,10.09329941,2.298050139,3493.9,5.66572238
E01000267,11.57222666,3.667321546,297.2,6.882591093
E01000268,12.7646703,3.373493976,1005.9,5.529225908
E01000269,13.63236588,3.893294881,4658.1,5.531295488
E01000270,12.28209192,3.106796117,4206.3,3.633491311
E01000271,12.49081558,3.785103785,1448.2,2.503912363
E01000272,13.35012594,3.433777155,41.9,3.939393939
E01000273,14.98579545,4.973037747,131.9,1.621621622
E01000274,16.67756704,4.545454545,251.3,3.197158082
E01000275,13.19444444,3.045977011,529.6,1.646090535
E01000276,9.590235397,2.599090318,134.3,1.92139738
E01000277,13.30014225,4.724409449,1961.7,1.886792453
E01000278,8.918918919,2.025658339,1905.4,2.90237467
E01000279,10.32370954,2.637362637,3080.7,1.506849315
E01000280,8.691756272,3.139013453,4419.7,2.3977433
E01000281,9.006433167,3.467561521,5000,4.926764314
E01000282,12.68090972,3.537866224,5563.9,5.756578947
E01000283,8.555657774,2.335766423,2851.6,2.289156627
E01000284,17.2436751,4.764542936,2023.4,3.644314869
E01000285,16.29260183,3.965631196,4698.7,7.707910751
E01000286,22.78020378,7.105416424,2607.2,8.647798742
E01000287,22.81105991,6.253832005,3458.1,8.277027027
